time,code,algo,test_year,seed,ret,bh_ret,excess_bh,sortino,mdd,trades,hold_ratio,hold_bull,hold_bear,avg_hold_days,n_spells,capture_up,capture_dn,day_up,day_dn,entry_lag,bull_days
09-18 04:17,005930,rand_hold10,2020,2,0.2937,0.467,-0.1733,1.536,-0.2511,31,0.758,0.816,0.587,11.8,16,0.786,0.68,0.773,0.75,0.0,0.746
09-18 04:17,005930,rand_hold10,2020,3,0.4879,0.467,0.0209,2.189,-0.2774,31,0.802,0.811,0.778,12.4,16,0.869,0.754,0.836,0.788,0.5,0.746
09-18 04:17,005930,rand_hold10,2020,4,0.1202,0.467,-0.3468,0.832,-0.231,33,0.762,0.795,0.667,11.1,17,0.702,0.755,0.766,0.779,0.2,0.746
09-18 04:17,005930,rand_hold10,2020,5,0.5437,0.467,0.0767,2.483,-0.2365,37,0.778,0.757,0.841,10.7,18,0.757,0.79,0.758,0.808,0.5,0.746
09-18 04:17,005930,rand_hold10,2020,6,0.1945,0.467,-0.2725,1.113,-0.3333,33,0.782,0.811,0.698,11.4,17,0.703,0.827,0.758,0.817,0.0,0.746
09-18 04:17,005930,rand_hold10,2020,7,0.1461,0.467,-0.3209,0.948,-0.2556,30,0.698,0.719,0.635,11.5,15,0.581,0.717,0.672,0.721,0.5,0.746
09-18 04:17,005930,rand_hold10,2020,8,0.5337,0.467,0.0667,2.391,-0.2741,35,0.786,0.773,0.825,10.8,18,0.839,0.784,0.805,0.788,0.0,0.746
09-18 04:17,005930,rand_hold10,2020,9,0.2375,0.467,-0.2295,1.371,-0.3621,34,0.815,0.816,0.81,11.9,17,0.749,0.908,0.773,0.894,0.2,0.746
09-18 04:17,005930,rand_hold10,2020,10,0.6168,0.467,0.1498,2.819,-0.2664,33,0.815,0.816,0.81,11.9,17,0.83,0.856,0.797,0.837,0.3,0.746
09-18 04:17,005930,rand_hold10,2020,11,0.2154,0.467,-0.2516,1.224,-0.3455,35,0.827,0.816,0.857,11.4,18,0.801,0.881,0.797,0.846,0.2,0.746
09-18 04:17,005930,rand_hold10,2020,12,0.5958,0.467,0.1288,2.725,-0.2402,34,0.851,0.843,0.873,12.4,17,0.884,0.767,0.898,0.779,0.0,0.746
09-18 04:17,005930,rand_hold10,2020,13,0.3987,0.467,-0.0683,1.902,-0.2205,31,0.742,0.73,0.778,11.5,16,0.733,0.78,0.758,0.721,3.0,0.746
09-18 04:17,005930,rand_hold10,2020,14,0.163,0.467,-0.304,0.987,-0.334,33,0.835,0.822,0.873,12.2,17,0.808,0.83,0.828,0.817,0.0,0.746
09-18 04:17,005930,rand_hold10,2020,15,0.4796,0.467,0.0126,2.846,-0.1324,31,0.754,0.751,0.762,11.7,16,0.662,0.628,0.742,0.769,0.8,0.746
09-18 04:17,005930,rand_hold10,2020,16,0.3554,0.467,-0.1116,1.774,-0.2606,34,0.786,0.789,0.778,12.2,16,0.808,0.774,0.773,0.798,0.3,0.746
09-18 04:17,005930,rand_hold10,2020,17,0.5882,0.467,0.1212,2.644,-0.2599,36,0.819,0.827,0.794,11.3,18,0.86,0.771,0.828,0.817,0.8,0.746
09-18 04:17,005930,rand_hold10,2020,18,0.6831,0.467,0.2161,2.807,-0.2193,31,0.734,0.73,0.746,11.4,16,0.792,0.691,0.758,0.721,1.2,0.746
09-18 04:17,005930,rand_hold10,2020,19,0.5675,0.467,0.1005,2.692,-0.2094,32,0.738,0.714,0.81,11.4,16,0.765,0.591,0.781,0.683,0.2,0.746
