time,code,test_year,seed,episodes,window,features,hidden,lr,gamma,target_every,eps_decay,ret,excess_bh,sortino,mdd,trades,data_hash,train_len,churn,penalty
09-15 15:33,5930,2019,2,10,10,base8,64,0.001,0.99,500,0.999,0.1491,-0.2908,1.209,-0.2316,63,,3.0,none,0.0
09-15 15:33,5930,2019,3,10,10,base8,64,0.001,0.99,500,0.999,0.0712,-0.3687,0.664,-0.1958,51,,3.0,none,0.0
09-15 15:33,5930,2019,4,10,10,base8,64,0.001,0.99,500,0.999,0.045,-0.395,0.436,-0.2112,74,,3.0,none,0.0
09-15 15:33,5930,2019,5,10,10,base8,64,0.001,0.99,500,0.999,0.1942,-0.2458,1.515,-0.1282,49,,3.0,none,0.0
09-15 15:34,5930,2019,6,10,10,base8,64,0.001,0.99,500,0.999,-0.0593,-0.4993,-0.404,-0.1361,69,,3.0,none,0.0
09-15 15:34,5930,2019,7,10,10,base8,64,0.001,0.99,500,0.999,0.0181,-0.4218,0.253,-0.2249,98,,3.0,none,0.0
09-15 15:34,5930,2019,8,10,10,base8,64,0.001,0.99,500,0.999,0.0452,-0.3947,0.453,-0.1673,70,,3.0,none,0.0
09-15 15:34,5930,2019,9,10,10,base8,64,0.001,0.99,500,0.999,0.0381,-0.4019,0.406,-0.238,45,,3.0,none,0.0
09-15 15:35,5930,2019,10,10,10,base8,64,0.001,0.99,500,0.999,0.3103,-0.1297,2.255,-0.152,59,,3.0,none,0.0
09-15 15:35,5930,2020,1,10,10,base8,64,0.001,0.99,500,0.999,0.308,-0.159,1.535,-0.3109,37,,3.0,none,0.0
09-15 15:35,5930,2020,2,10,10,base8,64,0.001,0.99,500,0.999,0.2168,-0.2503,1.289,-0.2803,52,,3.0,none,0.0
09-15 15:35,5930,2020,3,10,10,base8,64,0.001,0.99,500,0.999,0.3274,-0.1397,1.91,-0.1526,35,,3.0,none,0.0
09-15 15:35,5930,2020,4,10,10,base8,64,0.001,0.99,500,0.999,0.0515,-0.4156,0.356,-0.2563,65,,3.0,none,0.0
09-15 15:36,5930,2020,5,10,10,base8,64,0.001,0.99,500,0.999,0.2571,-0.21,1.488,-0.2464,41,,3.0,none,0.0
09-15 15:36,5930,2020,6,10,10,base8,64,0.001,0.99,500,0.999,0.039,-0.428,0.366,-0.2666,63,,3.0,none,0.0
09-15 15:36,5930,2020,7,10,10,base8,64,0.001,0.99,500,0.999,0.2274,-0.2396,1.276,-0.2333,67,,3.0,none,0.0
09-15 15:36,5930,2020,8,10,10,base8,64,0.001,0.99,500,0.999,0.0572,-0.4099,0.453,-0.3122,42,,3.0,none,0.0
09-15 15:37,5930,2020,9,10,10,base8,64,0.001,0.99,500,0.999,-0.0547,-0.5218,-0.144,-0.1715,26,,3.0,none,0.0
09-15 15:37,5930,2020,10,10,10,base8,64,0.001,0.99,500,0.999,0.3643,-0.1027,1.819,-0.2703,47,,3.0,none,0.0
09-15 15:37,5930,2018,1,10,10,plus10,64,0.001,0.99,500,0.999,-0.2333,0.007,-1.581,-0.2603,77,,3.0,none,0.0
09-15 15:37,5930,2018,2,10,10,plus10,64,0.001,0.99,500,0.999,-0.3591,-0.1188,-2.523,-0.3591,94,,3.0,none,0.0
09-15 15:38,5930,2018,3,10,10,plus10,64,0.001,0.99,500,0.999,-0.2893,-0.049,-2.081,-0.3397,76,,3.0,none,0.0
09-15 15:38,5930,2018,4,10,10,plus10,64,0.001,0.99,500,0.999,-0.328,-0.0877,-2.286,-0.3496,62,,3.0,none,0.0
09-15 15:38,5930,2018,5,10,10,plus10,64,0.001,0.99,500,0.999,-0.205,0.0353,-1.329,-0.2539,76,,3.0,none,0.0
09-15 15:38,5930,2018,6,10,10,plus10,64,0.001,0.99,500,0.999,-0.3062,-0.0659,-2.165,-0.331,66,,3.0,none,0.0
09-15 15:38,5930,2018,7,10,10,plus10,64,0.001,0.99,500,0.999,-0.3329,-0.0926,-2.63,-0.3504,54,,3.0,none,0.0
09-15 15:39,5930,2018,8,10,10,plus10,64,0.001,0.99,500,0.999,-0.0808,0.1595,-0.351,-0.2099,47,,3.0,none,0.0
09-15 15:39,5930,2018,9,10,10,plus10,64,0.001,0.99,500,0.999,-0.1934,0.0469,-1.325,-0.2573,72,,3.0,none,0.0
09-15 15:39,5930,2018,10,10,10,plus10,64,0.001,0.99,500,0.999,-0.2432,-0.0029,-1.666,-0.2588,74,,3.0,none,0.0
09-15 15:39,5930,2019,1,10,10,plus10,64,0.001,0.99,500,0.999,-0.0548,-0.4948,-0.328,-0.2434,92,,3.0,none,0.0
09-15 15:39,5930,2019,2,10,10,plus10,64,0.001,0.99,500,0.999,0.1474,-0.2925,1.163,-0.1217,50,,3.0,none,0.0
09-15 15:40,5930,2019,3,10,10,plus10,64,0.001,0.99,500,0.999,0.2365,-0.2035,1.63,-0.1555,43,,3.0,none,0.0
09-15 15:40,5930,2019,4,10,10,plus10,64,0.001,0.99,500,0.999,-0.0666,-0.5066,-0.412,-0.2118,75,,3.0,none,0.0
09-15 15:40,5930,2019,5,10,10,plus10,64,0.001,0.99,500,0.999,0.0169,-0.4231,0.237,-0.1755,69,,3.0,none,0.0
09-15 15:40,5930,2019,6,10,10,plus10,64,0.001,0.99,500,0.999,0.0287,-0.4112,0.295,-0.1149,28,,3.0,none,0.0
09-15 15:40,5930,2019,7,10,10,plus10,64,0.001,0.99,500,0.999,0.0318,-0.4082,0.374,-0.2518,43,,3.0,none,0.0
09-15 15:41,5930,2019,8,10,10,plus10,64,0.001,0.99,500,0.999,0.2112,-0.2288,1.664,-0.1951,49,,3.0,none,0.0
09-15 15:41,5930,2019,9,10,10,plus10,64,0.001,0.99,500,0.999,0.1607,-0.2793,1.25,-0.1372,53,,3.0,none,0.0
09-15 15:41,5930,2019,10,10,10,plus10,64,0.001,0.99,500,0.999,0.0573,-0.3827,0.499,-0.1832,45,,3.0,none,0.0
09-15 15:41,5930,2020,1,10,10,plus10,64,0.001,0.99,500,0.999,0.3888,-0.0782,1.885,-0.1747,45,,3.0,none,0.0
09-15 15:42,5930,2020,2,10,10,plus10,64,0.001,0.99,500,0.999,0.2006,-0.2664,1.128,-0.1766,42,,3.0,none,0.0
09-15 15:42,5930,2020,3,10,10,plus10,64,0.001,0.99,500,0.999,0.0985,-0.3685,0.695,-0.1414,52,,3.0,none,0.0
09-15 15:42,5930,2020,4,10,10,plus10,64,0.001,0.99,500,0.999,0.1229,-0.3441,0.776,-0.1017,38,,3.0,none,0.0
09-15 15:42,5930,2020,5,10,10,plus10,64,0.001,0.99,500,0.999,-0.0589,-0.526,-0.103,-0.3536,66,,3.0,none,0.0
09-15 15:42,5930,2020,6,10,10,plus10,64,0.001,0.99,500,0.999,0.1516,-0.3154,0.899,-0.2658,66,,3.0,none,0.0
09-15 15:43,5930,2020,7,10,10,plus10,64,0.001,0.99,500,0.999,0.1499,-0.3172,0.922,-0.2967,61,,3.0,none,0.0
09-15 15:43,5930,2020,8,10,10,plus10,64,0.001,0.99,500,0.999,0.0313,-0.4357,0.271,-0.3224,53,,3.0,none,0.0
09-15 15:43,5930,2020,9,10,10,plus10,64,0.001,0.99,500,0.999,0.121,-0.3461,0.736,-0.2597,45,,3.0,none,0.0
09-15 15:43,5930,2020,10,10,10,plus10,64,0.001,0.99,500,0.999,0.0984,-0.3687,0.694,-0.2891,72,,3.0,none,0.0
09-15 16:26,5930,2018,1,10,10,slim5,64,0.001,0.99,500,0.999,-0.0315,0.2087,-0.07,-0.1238,67,,3.0,none,0.0
09-15 16:26,5930,2018,2,10,10,slim5,64,0.001,0.99,500,0.999,-0.2993,-0.059,-2.134,-0.3419,41,,3.0,none,0.0
09-15 16:27,5930,2018,3,10,10,slim5,64,0.001,0.99,500,0.999,-0.0981,0.1422,-0.587,-0.2586,78,,3.0,none,0.0
09-15 16:27,5930,2018,4,10,10,slim5,64,0.001,0.99,500,0.999,-0.2219,0.0184,-1.53,-0.2495,77,,3.0,none,0.0
09-15 16:28,5930,2018,5,10,10,slim5,64,0.001,0.99,500,0.999,-0.1701,0.0701,-1.122,-0.2088,92,,3.0,none,0.0
09-15 16:28,5930,2018,6,10,10,slim5,64,0.001,0.99,500,0.999,-0.1937,0.0465,-1.306,-0.2825,60,,3.0,none,0.0
09-15 16:28,5930,2018,7,10,10,slim5,64,0.001,0.99,500,0.999,-0.3103,-0.0701,-2.144,-0.3568,45,,3.0,none,0.0
09-15 16:29,5930,2018,8,10,10,slim5,64,0.001,0.99,500,0.999,-0.2454,-0.0052,-1.582,-0.2541,54,,3.0,none,0.0
