time,model,test_year,seed,episodes,ret,excess_bh,sharpe,sortino,mdd,trades
09-03 20:25,069500,double,2023,2,10,0.0945,-0.1609,1.164,1.477,-0.0611,59
09-03 20:26,069500,double,2023,3,10,-0.0141,-0.2695,-0.087,-0.115,-0.1338,53
09-03 20:26,069500,double,2023,4,10,-0.0332,-0.2887,-0.299,-0.404,-0.1213,58
09-03 20:27,069500,double,2023,5,10,-0.0053,-0.2608,-0.003,-0.004,-0.0907,45
09-03 20:27,069500,buy_hold,2024,0,0,-0.0989,0.0,-0.419,-0.519,-0.2052,
09-03 20:27,069500,ma_cross,2024,0,0,-0.0703,0.0286,-0.449,-0.277,-0.1649,2.0
09-03 20:27,069500,cash,2024,0,0,0.0,0.0989,0.0,0.0,0.0,0.0
09-03 20:27,069500,fixed50,2024,0,0,-0.0458,0.0531,-0.419,-0.519,-0.1059,
09-03 20:27,069500,dqn,2024,1,10,-0.1342,-0.0353,-0.868,-0.798,-0.1817,40
09-03 20:28,069500,dqn,2024,2,10,-0.0033,0.0956,0.034,0.04,-0.1217,55
09-03 20:29,069500,dqn,2024,3,10,-0.0692,0.0297,-0.409,-0.386,-0.1757,67
09-03 20:29,069500,dqn,2024,4,10,0.037,0.1359,0.4,0.514,-0.0725,58
09-03 20:30,069500,dqn,2024,5,10,-0.0465,0.0524,-0.386,-0.441,-0.1188,46
09-03 20:31,069500,double,2024,1,10,-0.0287,0.0702,-0.163,-0.113,-0.141,51
09-03 20:31,069500,double,2024,2,10,-0.0419,0.057,-0.346,-0.414,-0.1264,64
09-03 20:32,069500,double,2024,3,10,-0.0721,0.0268,-0.561,-0.735,-0.1293,45
09-03 20:33,069500,double,2024,4,10,-0.0383,0.0606,-0.206,-0.144,-0.1722,45
09-03 20:33,069500,double,2024,5,10,-0.0749,0.024,-0.506,-0.397,-0.1882,70
