date,frgn_net,inst_net,indiv_net
2013-10-29,84470240000,-19348331000,-63594972000
2013-10-30,147512220000,-28778490000,-115798767000
2013-10-31,41738687000,-29880196000,-8895826000
2013-11-01,162994319000,-49506634000,-113683676000
2013-11-04,62175159000,-20095573000,-28311393000
2013-11-05,14074155000,-39081201000,26056841000
2013-11-06,15953587300,-127301937300,110957562000
2013-11-07,-2660003000,-64335845000,69431428000
2013-11-08,-21088834000,-57937416000,76484163000
2013-11-11,23566087000,-7887783000,-15428328000
2013-11-12,81924106000,-15872677000,-65042160000
2013-11-13,-27240449000,-23067492000,47912865000
2013-11-14,2692521000,-27784860000,25701871000
2013-11-15,15706617000,49881966000,-67915483000
2013-11-18,43817304000,131608000,-41102276000
2013-11-19,75941295000,10912981000,-84326139000
2013-11-20,-34034602157,46018418157,-10980289000
2013-11-21,-58976555000,-5925013000,60766155000
2013-11-22,-14588454000,-138395000,14250404000
2013-11-25,37258026000,13906580000,-49880455000
2013-11-26,24698391000,8380272000,-32706424000
2013-11-27,-21917207000,24579613000,-1788699000
2013-11-28,100353902000,53156714000,-141411399000
2013-11-29,53552566000,-23904660000,-28827754000
2013-12-02,21416622000,-19961801000,1487232000
2013-12-03,24551584000,-13203038000,-9101896000
2013-12-04,-140326565000,17026284000,121342166000
2013-12-05,-8792301000,-29713731000,41071786000
2013-12-06,35651208000,-67874203000,33949254000
2013-12-09,67671284000,-17439037000,-45439115000
2013-12-10,135793000,-1297768000,4466875000
2013-12-11,-43990214000,-36635801000,78880821000
2013-12-12,-156016948000,87066423000,71526068000
2013-12-13,-57580917313,-12162167687,72675165000
2013-12-16,10964636000,-13055164000,1898866000
2013-12-17,-15087670126,11192692126,5672276000
2013-12-18,-19973265000,24122057000,-6487948000
2013-12-19,99289874000,4492730000,-99671586000
2013-12-20,22749916000,14503062000,-20703942000
2013-12-23,60830397000,27625788000,-83379114000
2013-12-24,10891309000,46397373000,-48484383000
2013-12-26,27841369000,108759490000,-128736502000
2013-12-27,88381268000,-158432051000,71107984000
2013-12-30,-23060538000,-64070158000,88902390000
2014-01-02,-219030985000,-42166182000,256970710000
2014-01-03,-169010596000,-6849024000,169752559000
2014-01-06,30766237000,-47695344000,13502828000
2014-01-07,101770685000,-94471682000,-1729842000
2014-01-08,57465972000,-91652582000,31312351000
2014-01-09,13111395000,-123575538000,103905233000
2014-01-10,-11012676000,-16573480000,26290327000
2014-01-13,42112186000,-5832323000,-34933801000
2014-01-14,48669229000,26452945000,-74712906000
2014-01-15,-11368884000,-14654718000,23808967000
2014-01-16,-12483387000,7113947000,5802808000
2014-01-17,-10590911000,3403786000,6450709000
2014-01-20,38919355000,4359290000,-33797794000
2014-01-21,46060903000,-2039216000,-36398376000
2014-01-22,15059059000,1988844000,-16666037000
2014-01-23,5316712000,-44043066000,39667821000
2014-01-24,44949677000,-48505218000,99661000
2014-01-27,-24024505000,32968964000,-7435690000
2014-01-28,-55472664000,29301252000,26471448000
2014-01-29,-21092289000,-19686497000,47180823000
2014-02-03,-43428327000,30211060000,12649541000
2014-02-04,-61109033000,-8636248000,65666050000
2014-02-05,-68021349000,4964818000,63623047000
2014-02-06,-12200248000,23292105000,-10434353000
2014-02-07,43970393000,-26481645000,-16997970000
2014-02-10,58287431000,-45080717000,-11576070000
2014-02-11,140173119000,-32039010000,-108783570000
2014-02-12,37640313000,-10917224000,-26657348000
2014-02-13,-7413102000,-11347496000,18787477000
2014-02-14,19672057000,-8523222000,-9583654000
2014-02-17,-14715825000,-13824931000,27864468000
2014-02-18,4778752000,-7680588000,1618733000
2014-02-19,14824038000,-30804079000,16403563000
2014-02-20,55400898000,-40555636000,-14167722000
2014-02-21,197309592000,-45987552000,-145308127000
2014-02-24,25593152000,6843714000,-33106005000
2014-02-25,63350146000,-25317305000,-37023640000
2014-02-26,54987500000,1131501000,-55557213000
2014-02-27,33141660000,-17184133000,-13898441000
2014-02-28,32324821000,12617348000,-42766279000
2014-03-03,16258900000,-39222293000,25814879000
2014-03-04,5913287000,-19117236000,11446107000
2014-03-05,21104554000,2749128000,-23338460000
2014-03-06,53235418000,-76775009000,19805336000
2014-03-07,70727294000,-38290166000,-30109384000
2014-03-10,44434862000,-42677411000,1040448000
2014-03-11,9321331000,-26866640000,17991704000
2014-03-12,-13541198000,-39706062000,54248358000
2014-03-13,-56102693000,37132190000,18233932000
2014-03-14,-47422562000,-3989245000,49879844000
2014-03-17,-80028591000,20225114000,59658532000
2014-03-18,-65961493000,44492654000,19601710000
2014-03-19,-30772180000,11796424000,18545106000
2014-03-20,-15740003000,-7761026000,23581151000
2014-03-21,-10973730000,-18685132000,30796318000
